jamestan@gmail.com,James,Tan
alanong@outlook.com,Alan,Ong
mandy.brown@yahoo.com,Mandy,Brown
ice.ng@gmail.com,Ice,Ng
dawn.gan@gmail.com,Dawn,Gan
mary.wu@gmail.com,Mary,Wu
aly.song@gmail.com,Aly,Song
jon.pang@gmail.com,Jon,Pang
tara.yang@gmail.com,Tara,Yang
nicole.tan@gmail.com,Nicole,Tan
melinda.lim@gmail.com,Melinda,Lim
amir.huang@gmail.com,Amir,Huang
patrick.lai@gmail.com,Patrick,Lai
aaron.koh@gmail.com,Aaron,Koh
elliott.hui@gmail.com,Elliott,Hui
kevin.ang@gmail.com,Kevin,Ang
leon.kwek@gmail.com,Leon,Kwek
jaxon.mok@gmail.com,Jaxon,Mok
veronica.tan@gmail.com,Veronica,Tan
adam.lim@gmail.com,Adam,Lim
hazel.tan@gmail.com,Hazel,Tan
helen.lim@gmail.com,Helen,Lim
willful@hotmail.com,Wilfred,Lim
chewytoe@gmail.com,Isaac,Chew
soulfool@yahoo.com,Sophia,Loh
zhuzhutrain@outlook.com,Charlene,Zhu
lamsiusiu@yahoo.com,Danny,Lam
eatturn@gmail.com,Eden,Tan
elfie@gmail.com,Eve,Ang
zackyzap@gmail.com,Zack,Chen
songswan@yahoo.com,Zen,Song
lawnren@gmail.com,Lawrence,Chen
Dres-down@outlook.com,Dresden,Ong
