1,B0001,123,3,Food,2021-01-26 22:30:00,15,Enjoy!,2021-04-26,James Tan,jamestan@gmail.com
2,B0001,123,3,Food,2021-01-26 22:30:00,15,Enjoy!,2021-04-26,James Tan,jamestan@gmail.com
50000,B0001,457,4,Ride,2021-01-26 22:30:00,20,Happy Birthday!,2021-04-26,James Tan,jamestan@gmail.com
50001,B0001,152,6,Ride,2021-01-26 22:30:00,20,Thanks for lending a listening ear!,2021-04-26,Alan Ong,alanong@outlook.com
3,B0002,123,6,Food,2021-02-06 21:01:00,20,,2021-05-06,Mandy Brown,mandy.brown@yahoo.com
4,B0003,123,2,Food,2021-02-23 15:20:00,20,You are a lifesaver!,2021-05-23,Mandy Brown,mandy.brown@yahoo.com
50002,B0003,152,4,Ride,2021-02-23 15:20:00,10,Enjoy!,2021-05-23,Ice Ng,ice.ng@gmail.com
50003,B0003,152,4,Ride,2021-02-23 15:20:00,5,Job well done!,2021-05-23,Ice Ng,ice.ng@gmail.com
50004,B0004,457,2,Ride,2021-02-23 17:34:00,20,Thanks for your support!,2021-05-23,Dawn Gan,dawn.gan@gmail.com
5,B0005,123,5,Food,2021-02-23 19:40:00,10,Enjoy!,2021-05-23,Mary Wu,mary.wu@gmail.com
6,B0006,123,5,Food,2021-02-23 22:20:00,10,Kudos to you!,2021-05-23,Aly Song,aly.song@gmail.com
50005,B0006,152,3,Ride,2021-02-23 22:20:00,15,You are AMAZING!,2021-05-23,Jon Pang,jon.pang@gmail.com
7,B0007,123,6,Food,2021-03-08 20:30:00,20,Friends forever!,2021-06-08,Tara Yang,tara.yang@gmail.com
8,B0008,123,3,Food,2021-03-24 20:27:00,20,Thanks for your support!,2021-06-24,Tara Yang,tara.yang@gmail.com
9,B0008,123,1,Food,2021-03-24 20:27:00,20,Thanks for your support!,2021-06-24,Tara Yang,tara.yang@gmail.com
50006,B0009,152,1,Ride,2021-04-09 13:21:00,10,You are a lifesaver!,2021-07-09,Nicole Tan,nicole.tan@gmail.com
50007,B0010,152,3,Ride,2021-04-16 09:58:00,10,Well done!,2021-07-16,Melinda Lim,melinda.lim@gmail.com
10,B0011,123,4,Food,2021-04-22 13:28:00,10,You are a lifesaver!,2021-07-22,Patrick Lai,patrick.lai@gmail.com
11,B0011,123,1,Food,2021-04-22 13:28:00,10,You are a lifesaver!,2021-07-22,Patrick Lai,patrick.lai@gmail.com
50008,B0011,457,4,Ride,2021-04-22 13:28:00,5,Thanks for everything!,2021-07-22,Amir Huang,amir.huang@gmail.com
50009,B0011,457,1,Ride,2021-04-22 13:28:00,5,Thanks for everything!,2021-07-22,Amir Huang,amir.huang@gmail.com
50010,B0011,457,5,Ride,2021-04-22 13:28:00,5,Thanks for everything!,2021-07-22,Amir Huang,amir.huang@gmail.com
50011,B0011,152,1,Ride,2021-04-22 13:28:00,5,Thanks for everything!,2021-07-22,Amir Huang,amir.huang@gmail.com
50012,B0011,457,3,Ride,2021-04-22 13:28:00,5,Thanks for everything!,2021-07-22,Amir Huang,amir.huang@gmail.com
50013,B0012,152,4,Ride,2021-05-01 16:34:00,15,Enjoy!,2021-08-01,Aaron Koh,aaron.koh@gmail.com
