00001,Mandy,Brown,91115555,mandy.brown@yahoo.com,1970-01-15,2021-01-26,2022-04-01 22:00:00,1,0
00002,Ice,Ng,82859794,ice.ng@gmail.com,1981-02-05,2021-02-06,2022-03-09 01:15:26,1,0
00003,Eric,Khoo,86670892,eric.khoo@gmail.com,2005-08-28,2021-02-23,2022-03-10 00:15:56,1,0
00004,Jordan,Zhang,85761320,jordan.zhang@gmail.com,2005-07-10,2021-04-06,2022-01-27 20:00:32,1,0
00005,Alice,Neo,96570644,alice.neo@gmail.com,1999-03-15,2021-04-14,2022-02-15 18:19:38,1,0
00006,Dawn,Gan,97498036,dawn.gan@gmail.com,2003-07-16,2021-05-04,2022-03-23 18:22:35,1,0
00007,Mary,Wu,83002333,mary.wu@gmail.com,1996-07-27,2021-05-10,2022-02-17 14:09:10,1,0
00008,Aly,Song,83445632,aly.song@gmail.com,1994-08-03,2021-05-28,2022-01-30 22:09:31,1,0
00009,Jon,Pang,97622618,jon.pang@gmail.com,1965-05-09,2021-06-04,2022-01-10 17:45:05,1,0
00010,Tara,Yang,89909690,tara.yang@gmail.com,1991-10-12,2021-06-09,2022-03-20 13:29:45,1,0
00011,Christine,Neo,94808278,christine.neo@gmail.com,1970-09-10,2021-06-19,2022-03-30 18:17:22,1,0
00012,Nicole,Tan,97331379,nicole.tan@gmail.com,1966-02-27,2021-06-21,2022-03-21 19:39:39,1,0
00013,Melinda,Lim,85838092,melinda.lim@gmail.com,1992-05-21,2021-10-01,2022-01-09 07:31:09,0,0
00014,Amir,Huang,94636783,amir.huang@gmail.com,1974-06-15,2021-10-21,2022-03-15 08:51:26,1,0
00015,Patrick,Lai,99205668,patrick.lai@gmail.com,1972-11-23,2021-10-27,2022-03-29 17:00:11,1,0
00016,Aaron,Koh,93982776,aaron.koh@gmail.com,1978-07-26,2021-10-27,2022-03-31 19:21:01,1,0
00017,Elliott,Hui,81208921,elliott.hui@gmail.com,1973-01-01,2021-11-10,2022-02-27 10:14:09,1,0
00018,Kevin,Ang,99993679,kevin.ang@gmail.com,1981-07-27,2021-12-01,2022-03-22 18:20:05,1,0
00019,Ryan,Ho,87925583,ryan.ho@gmail.com,1980-03-20,2022-01-03,2022-04-02 23:07:01,1,0
00020,Cynthia,Chai,85825457,cynthia.chai@gmail.com,1969-02-23,2022-01-04,2022-02-28 11:11:11,1,0
00021,Benjamin,Kang,93964033,benjamin.kang@gmail.com,1983-03-04,2022-01-05,2022-02-13 17:14:11,1,0
00022,Leon,Kwek,91352869,leon.kwek@gmail.com,1992-11-11,2022-01-21,2022-03-28 13:21:45,1,0
00023,Jaxon,Mok,85014361,jaxon.mok@gmail.com,1973-02-14,2022-01-31,2022-03-19 05:59:40,1,0
00024,Veronica,Tan,99791122,veronica.tan@gmail.com,2002-07-28,2022-02-01,2022-04-02 15:43:23,1,0
00025,Adam,Lim,82785587,adam.lim@gmail.com,1988-11-26,2022-02-01,2022-02-03 12:41:10,1,0
00026,Anna,Chua,82067073,anna.chua@gmail.com,1989-12-12,2022-02-12,2022-03-08 01:15:25,1,0
00027,Winston,Chew,96512498,winston.chew@gmail.com,1994-10-15,2022-03-17,2022-03-17 16:21:44,1,0
00028,Tammie,Xie,83278422,tammie.xie@gmail.com,1980-09-08,2022-04-01,2022-04-01 08:15:58,1,0
00029,Hazel,Tan,91950491,hazel.tan@gmail.com,1981-12-01,2022-04-02,2022-04-02 09:03:24,1,0
00030,Helen,Lim,83194357,helen.lim@gmail.com,1966-09-10,2022-04-02,2022-04-02 21:20:07,1,0
